,iteration,winner
0,1,GER
1,2,POL
2,3,GER
3,4,GER
4,5,POL
5,6,GER
6,7,ESP
7,8,SEN
8,9,POR
9,10,ESP
10,11,BRA
11,12,POR
12,13,BRA
13,14,GER
14,15,ESP
15,16,POR
16,17,SUI
17,18,BRA
18,19,FRA
19,20,BRA
20,21,ESP
21,22,ENG
22,23,POR
23,24,POR
24,25,GER
25,26,BRA
26,27,ESP
27,28,GER
28,29,POL
29,30,SRB
30,31,ESP
31,32,ENG
32,33,GER
33,34,SRB
34,35,BEL
35,36,BRA
36,37,SUI
37,38,ENG
38,39,POR
39,40,GER
40,41,ENG
41,42,ARG
42,43,FRA
43,44,SUI
44,45,DEN
45,46,CRO
46,47,ESP
47,48,SUI
48,49,ESP
49,50,CRC
50,51,ENG
51,52,BRA
52,53,GER
53,54,ESP
54,55,BEL
55,56,GER
56,57,FRA
57,58,BRA
58,59,BRA
59,60,SEN
60,61,SRB
61,62,GER
62,63,ESP
63,64,BRA
64,65,SUI
65,66,GER
66,67,ESP
67,68,SEN
68,69,GER
69,70,ESP
70,71,GER
71,72,BEL
72,73,POL
73,74,GER
74,75,BEL
75,76,GER
76,77,BRA
77,78,BRA
78,79,SUI
79,80,BRA
80,81,POL
81,82,ESP
82,83,BRA
83,84,POR
84,85,BRA
85,86,ESP
86,87,IRN
87,88,GER
88,89,BRA
89,90,POR
90,91,BEL
91,92,BRA
92,93,POR
93,94,FRA
94,95,GER
95,96,IRN
96,97,COL
97,98,BRA
98,99,IRN
99,100,ESP
100,101,GER
101,102,GER
102,103,SUI
103,104,BEL
104,105,GER
105,106,SUI
106,107,GER
107,108,POR
108,109,GER
109,110,ENG
110,111,ESP
111,112,POR
112,113,BRA
113,114,GER
114,115,GER
115,116,BEL
116,117,ENG
117,118,GER
118,119,BEL
119,120,BRA
120,121,NGA
121,122,ESP
122,123,IRN
123,124,ESP
124,125,SRB
125,126,POR
126,127,BRA
127,128,BRA
128,129,GER
129,130,BRA
130,131,GER
131,132,BEL
132,133,POL
133,134,POL
134,135,SRB
135,136,GER
136,137,POR
137,138,ENG
138,139,ENG
139,140,POR
140,141,ENG
141,142,POR
142,143,SUI
143,144,POL
144,145,POR
145,146,SUI
146,147,BEL
147,148,JPN
148,149,POL
149,150,ENG
150,151,GER
151,152,POR
152,153,ENG
153,154,ENG
154,155,POL
155,156,ESP
156,157,SUI
157,158,POL
158,159,GER
159,160,GER
160,161,NGA
161,162,POL
162,163,POL
163,164,POL
164,165,SRB
165,166,BRA
166,167,GER
167,168,ESP
168,169,POL
169,170,GER
170,171,ENG
171,172,POR
172,173,ESP
173,174,POL
174,175,COL
175,176,GER
176,177,ESP
177,178,PER
178,179,GER
179,180,DEN
180,181,GER
181,182,BEL
182,183,BEL
183,184,ENG
184,185,GER
185,186,POL
186,187,NGA
187,188,NGA
188,189,GER
189,190,GER
190,191,ESP
191,192,BRA
192,193,ESP
193,194,CRO
194,195,NGA
195,196,GER
196,197,SEN
197,198,BRA
198,199,GER
199,200,BRA
200,201,POL
201,202,SEN
202,203,POR
203,204,BEL
204,205,IRN
205,206,POL
206,207,GER
207,208,GER
208,209,PER
209,210,CRO
210,211,POR
211,212,FRA
212,213,ESP
213,214,POR
214,215,ESP
215,216,ESP
216,217,FRA
217,218,GER
218,219,SUI
219,220,POR
220,221,BRA
221,222,GER
222,223,GER
223,224,ESP
224,225,GER
225,226,ENG
226,227,POR
227,228,GER
228,229,BEL
229,230,ESP
230,231,FRA
231,232,ESP
232,233,BEL
233,234,BEL
234,235,ENG
235,236,CRO
236,237,BRA
237,238,BRA
238,239,ESP
239,240,BRA
240,241,RUS
241,242,GER
242,243,GER
243,244,BRA
244,245,BRA
245,246,BRA
246,247,ESP
247,248,GER
248,249,GER
249,250,SRB
250,251,GER
251,252,SUI
252,253,POR
253,254,GER
254,255,SUI
255,256,POL
256,257,GER
257,258,IRN
258,259,KOR
259,260,POR
260,261,BRA
261,262,POL
262,263,BEL
263,264,GER
264,265,JPN
265,266,BEL
266,267,PER
267,268,FRA
268,269,GER
269,270,SEN
270,271,GER
271,272,ESP
272,273,GER
273,274,POR
274,275,BRA
275,276,BEL
276,277,PER
277,278,CRO
278,279,GER
279,280,SRB
280,281,FRA
281,282,BRA
282,283,POL
283,284,SUI
284,285,CRO
285,286,BRA
286,287,POL
287,288,ENG
288,289,IRN
289,290,POR
290,291,ENG
291,292,GER
292,293,ESP
293,294,ESP
294,295,ESP
295,296,FRA
296,297,ESP
297,298,BEL
298,299,POL
299,300,POR
300,301,GER
301,302,ESP
302,303,ENG
303,304,SUI
304,305,BEL
305,306,POL
306,307,GER
307,308,SUI
308,309,POR
309,310,IRN
310,311,COL
311,312,POL
312,313,ESP
313,314,ESP
314,315,GER
315,316,GER
316,317,SUI
317,318,GER
318,319,ENG
319,320,NGA
320,321,PER
321,322,ESP
322,323,ESP
323,324,FRA
324,325,ESP
325,326,ESP
326,327,BRA
327,328,IRN
328,329,BRA
329,330,GER
330,331,NGA
331,332,GER
332,333,BEL
333,334,POL
334,335,POR
335,336,GER
336,337,SUI
337,338,EGY
338,339,BEL
339,340,BRA
340,341,GER
341,342,ESP
342,343,ENG
343,344,BEL
344,345,ESP
345,346,BEL
346,347,BEL
347,348,ESP
348,349,ESP
349,350,POR
350,351,EGY
351,352,BEL
352,353,BRA
353,354,BEL
354,355,BRA
355,356,POR
356,357,ESP
357,358,SUI
358,359,SUI
359,360,ESP
360,361,ENG
361,362,GER
362,363,FRA
363,364,GER
364,365,ENG
365,366,POL
366,367,ESP
367,368,ESP
368,369,ESP
369,370,POL
370,371,BRA
371,372,BRA
372,373,GER
373,374,SUI
374,375,ESP
375,376,BRA
376,377,BEL
377,378,FRA
378,379,BRA
379,380,ESP
380,381,GER
381,382,TUN
382,383,POR
383,384,GER
384,385,BRA
385,386,ENG
386,387,BRA
387,388,GER
388,389,POR
389,390,ENG
390,391,ESP
391,392,GER
392,393,POR
393,394,SUI
394,395,GER
395,396,SWE
396,397,SWE
397,398,BRA
398,399,ESP
399,400,GER
400,401,DEN
401,402,ESP
402,403,BEL
403,404,BRA
404,405,GER
405,406,POR
406,407,FRA
407,408,BRA
408,409,MEX
409,410,POR
410,411,POR
411,412,ENG
412,413,POR
413,414,ENG
414,415,BRA
415,416,BEL
416,417,GER
417,418,SUI
418,419,ESP
419,420,GER
420,421,GER
421,422,IRN
422,423,ENG
423,424,ESP
424,425,ENG
425,426,BRA
426,427,SUI
427,428,ESP
428,429,ENG
429,430,GER
430,431,POR
431,432,FRA
432,433,JPN
433,434,BEL
434,435,POR
435,436,FRA
436,437,ESP
437,438,GER
438,439,GER
439,440,IRN
440,441,NGA
441,442,POL
442,443,BRA
443,444,BEL
444,445,ENG
445,446,POR
446,447,POR
447,448,BEL
448,449,POR
449,450,FRA
450,451,SUI
451,452,BRA
452,453,GER
453,454,BRA
454,455,GER
455,456,GER
456,457,GER
457,458,BRA
458,459,FRA
459,460,RUS
460,461,NGA
461,462,ESP
462,463,POR
463,464,GER
464,465,SUI
465,466,POL
466,467,BEL
467,468,POR
468,469,GER
469,470,BRA
470,471,ESP
471,472,SUI
472,473,GER
473,474,GER
474,475,BRA
475,476,NGA
476,477,BRA
477,478,POR
478,479,GER
479,480,BEL
480,481,ESP
481,482,BEL
482,483,BEL
483,484,POR
484,485,BEL
485,486,SUI
486,487,ENG
487,488,BEL
488,489,ESP
489,490,BEL
490,491,GER
491,492,BRA
492,493,BRA
493,494,GER
494,495,BRA
495,496,SUI
496,497,BEL
497,498,PER
498,499,SWE
499,500,POL
500,501,ESP
501,502,BRA
502,503,ESP
503,504,BRA
504,505,SRB
505,506,GER
506,507,BRA
507,508,GER
508,509,GER
509,510,BEL
510,511,ENG
511,512,POR
512,513,BRA
513,514,ESP
514,515,CRO
515,516,BRA
516,517,POL
517,518,ENG
518,519,GER
519,520,CRO
520,521,POR
521,522,FRA
522,523,GER
523,524,ESP
524,525,SRB
525,526,POR
526,527,SUI
527,528,POR
528,529,GER
529,530,GER
530,531,GER
531,532,GER
532,533,BEL
533,534,BRA
534,535,ESP
535,536,POR
536,537,GER
537,538,GER
538,539,DEN
539,540,BRA
540,541,BRA
541,542,GER
542,543,ESP
543,544,ENG
544,545,ESP
545,546,POL
546,547,BEL
547,548,ENG
548,549,GER
549,550,SUI
550,551,GER
551,552,ESP
552,553,BRA
553,554,BRA
554,555,BRA
555,556,POR
556,557,ESP
557,558,ENG
558,559,BRA
559,560,GER
560,561,CRO
561,562,ESP
562,563,POR
563,564,GER
564,565,POR
565,566,GER
566,567,BEL
567,568,ENG
568,569,BRA
569,570,ENG
570,571,IRN
571,572,ESP
572,573,ESP
573,574,ESP
574,575,TUN
575,576,BRA
576,577,DEN
577,578,ENG
578,579,ESP
579,580,BRA
580,581,FRA
581,582,NGA
582,583,GER
583,584,SUI
584,585,POR
585,586,SUI
586,587,POR
587,588,GER
588,589,BRA
589,590,POL
590,591,BRA
591,592,ESP
592,593,SUI
593,594,FRA
594,595,TUN
595,596,GER
596,597,GER
597,598,ESP
598,599,BEL
599,600,SUI
600,601,POR
601,602,SUI
602,603,FRA
603,604,POR
604,605,ESP
605,606,IRN
606,607,POL
607,608,BRA
608,609,IRN
609,610,GER
610,611,BRA
611,612,POL
612,613,GER
613,614,ESP
614,615,ENG
615,616,POR
616,617,GER
617,618,ESP
618,619,BEL
619,620,BRA
620,621,FRA
621,622,ESP
622,623,ENG
623,624,POR
624,625,PER
625,626,DEN
626,627,SUI
627,628,BRA
628,629,GER
629,630,ENG
630,631,POR
631,632,BRA
632,633,ESP
633,634,GER
634,635,BRA
635,636,GER
636,637,BRA
637,638,POL
638,639,ESP
639,640,POR
640,641,ESP
641,642,BRA
642,643,POR
643,644,IRN
644,645,IRN
645,646,BRA
646,647,GER
647,648,BRA
648,649,ESP
649,650,FRA
650,651,CRO
651,652,GER
652,653,ESP
653,654,ENG
654,655,FRA
655,656,IRN
656,657,ENG
657,658,POR
658,659,BEL
659,660,ESP
660,661,SRB
661,662,POR
662,663,BRA
663,664,GER
664,665,BEL
665,666,BEL
666,667,SUI
667,668,BRA
668,669,ESP
669,670,POL
670,671,GER
671,672,ARG
672,673,BEL
673,674,BEL
674,675,GER
675,676,BRA
676,677,POR
677,678,ESP
678,679,POR
679,680,GER
680,681,POR
681,682,GER
682,683,GER
683,684,POR
684,685,ENG
685,686,GER
686,687,NGA
687,688,BEL
688,689,SUI
689,690,ENG
690,691,IRN
691,692,ENG
692,693,ISL
693,694,GER
694,695,GER
695,696,ENG
696,697,BRA
697,698,BRA
698,699,POR
699,700,POR
700,701,POR
701,702,BRA
702,703,BRA
703,704,BRA
704,705,NGA
705,706,GER
706,707,GER
707,708,JPN
708,709,GER
709,710,ESP
710,711,GER
711,712,ESP
712,713,GER
713,714,SUI
714,715,SRB
715,716,ENG
716,717,ENG
717,718,SRB
718,719,PAN
719,720,ENG
720,721,ARG
721,722,GER
722,723,POR
723,724,POR
724,725,BRA
725,726,ENG
726,727,POR
727,728,GER
728,729,ESP
729,730,SRB
730,731,GER
731,732,IRN
732,733,BRA
733,734,NGA
734,735,ENG
735,736,POR
736,737,IRN
737,738,ESP
738,739,ESP
739,740,SRB
740,741,SUI
741,742,CRO
742,743,POL
743,744,BRA
744,745,FRA
745,746,SRB
746,747,DEN
747,748,BRA
748,749,BRA
749,750,ARG
750,751,POL
751,752,BRA
752,753,IRN
753,754,ENG
754,755,BEL
755,756,ENG
756,757,GER
757,758,ENG
758,759,GER
759,760,GER
760,761,POL
761,762,GER
762,763,GER
763,764,SUI
764,765,SRB
765,766,BRA
766,767,BRA
767,768,FRA
768,769,ENG
769,770,ESP
770,771,GER
771,772,POR
772,773,GER
773,774,BEL
774,775,ENG
775,776,POL
776,777,POR
777,778,GER
778,779,IRN
779,780,NGA
780,781,IRN
781,782,NGA
782,783,ESP
783,784,IRN
784,785,SUI
785,786,POR
786,787,ESP
787,788,POR
788,789,POR
789,790,ESP
790,791,SUI
791,792,GER
792,793,BEL
793,794,POL
794,795,GER
795,796,ESP
796,797,BRA
797,798,FRA
798,799,POR
799,800,CRO
800,801,ENG
801,802,BRA
802,803,GER
803,804,SUI
804,805,POR
805,806,BRA
806,807,ESP
807,808,FRA
808,809,BRA
809,810,ENG
810,811,BRA
811,812,RUS
812,813,SUI
813,814,SUI
814,815,BEL
815,816,ENG
816,817,POR
817,818,BRA
818,819,BRA
819,820,SUI
820,821,POR
821,822,ENG
822,823,ENG
823,824,ESP
824,825,GER
825,826,GER
826,827,GER
827,828,BEL
828,829,BEL
829,830,ENG
830,831,GER
831,832,BRA
832,833,SUI
833,834,BRA
834,835,POR
835,836,BRA
836,837,BRA
837,838,GER
838,839,BRA
839,840,POL
840,841,ESP
841,842,GER
842,843,POR
843,844,BEL
844,845,BEL
845,846,ENG
846,847,POR
847,848,IRN
848,849,BRA
849,850,SRB
850,851,BEL
851,852,BRA
852,853,IRN
853,854,SRB
854,855,BRA
855,856,DEN
856,857,ENG
857,858,BRA
858,859,GER
859,860,POR
860,861,CRO
861,862,FRA
862,863,GER
863,864,POR
864,865,POR
865,866,ESP
866,867,BRA
867,868,POR
868,869,BRA
869,870,GER
870,871,GER
871,872,BRA
872,873,ENG
873,874,BRA
874,875,GER
875,876,POR
876,877,BRA
877,878,GER
878,879,GER
879,880,SUI
880,881,ESP
881,882,FRA
882,883,ESP
883,884,BRA
884,885,POR
885,886,GER
886,887,SRB
887,888,ENG
888,889,GER
889,890,SUI
890,891,BEL
891,892,BEL
892,893,BRA
893,894,ENG
894,895,IRN
895,896,ENG
896,897,ESP
897,898,FRA
898,899,GER
899,900,GER
900,901,ENG
901,902,NGA
902,903,ESP
903,904,IRN
904,905,IRN
905,906,BRA
906,907,GER
907,908,ENG
908,909,ESP
909,910,GER
910,911,RUS
911,912,BRA
912,913,IRN
913,914,ESP
914,915,POR
915,916,BEL
916,917,ESP
917,918,POR
918,919,SUI
919,920,SUI
920,921,GER
921,922,ENG
922,923,BEL
923,924,GER
924,925,POR
925,926,SUI
926,927,DEN
927,928,POR
928,929,GER
929,930,BEL
930,931,BEL
931,932,ESP
932,933,GER
933,934,SRB
934,935,BEL
935,936,POL
936,937,GER
937,938,ESP
938,939,DEN
939,940,ENG
940,941,ESP
941,942,SUI
942,943,FRA
943,944,ESP
944,945,FRA
945,946,SRB
946,947,GER
947,948,ENG
948,949,SUI
949,950,ENG
950,951,BRA
951,952,GER
952,953,ENG
953,954,IRN
954,955,SUI
955,956,POR
956,957,BRA
957,958,SUI
958,959,BRA
959,960,PER
960,961,BEL
961,962,BRA
962,963,ESP
963,964,BEL
964,965,GER
965,966,GER
966,967,BRA
967,968,SUI
968,969,RUS
969,970,FRA
970,971,BEL
971,972,POR
972,973,GER
973,974,ENG
974,975,SUI
975,976,GER
976,977,BRA
977,978,GER
978,979,SUI
979,980,CRO
980,981,GER
981,982,POR
982,983,SUI
983,984,GER
984,985,POL
985,986,FRA
986,987,SUI
987,988,BRA
988,989,BRA
989,990,ESP
990,991,FRA
991,992,POR
992,993,ESP
993,994,GER
994,995,GER
995,996,IRN
996,997,ESP
997,998,ESP
998,999,POR
999,1000,GER
