team1,team2,outcome,sd
RUS,KSA,0.692,1.606591422857722
RUS,EGY,-0.486,1.3438020687586396
RUS,URU,0.466,1.5273650513220474
RUS,POR,-1.266,1.258270241243907
RUS,ESP,-2.086,1.9704324398466442
RUS,MAR,0.948,1.902970309805174
RUS,IRN,-0.614,1.3888858844411949
RUS,FRA,-0.68,1.2592060990957754
RUS,AUS,0.988,1.6875591841473294
RUS,PER,-0.108,1.4367797325964757
RUS,DEN,0.31,1.7916193792209327
RUS,ARG,0.462,1.5390113709781355
RUS,ISL,0.106,1.6836757407529515
RUS,CRO,-0.528,1.3730316820816628
RUS,NGA,-0.37,1.3088544609695916
RUS,BRA,-1.582,1.530776273659871
RUS,SUI,-1.088,1.2977888888413245
RUS,CRC,0.848,1.5286909432583162
RUS,SRB,-0.506,1.460809364701637
RUS,GER,-2.366,2.150359039788472
RUS,SWE,-0.252,1.9422914302441845
RUS,MEX,0.33,1.6312878348102764
RUS,KOR,0.95,1.612296498786746
RUS,BEL,-2.036,2.0422301535331417
RUS,PAN,0.83,1.5687893421361583
RUS,TUN,0.16,1.7783138080777532
RUS,ENG,-1.324,1.4265426737395555
RUS,POL,-0.622,1.4543438382995955
RUS,SEN,0.258,1.4735793158157453
RUS,COL,0.23,1.4903355326905414
RUS,JPN,-0.388,1.42739482975104
KSA,EGY,-0.864,1.503829777601175
KSA,URU,0.552,1.607263512931218
KSA,POR,-1.688,1.4066470772727606
KSA,ESP,-2.576,2.1147633437337614
KSA,MAR,0.256,1.76478440609611
KSA,IRN,-0.964,1.546190156481408
KSA,FRA,-1.348,1.529344957816908
KSA,AUS,0.512,1.7452380926395115
KSA,PER,-0.582,1.7295305721495646
KSA,DEN,-0.34,2.2209007181771994
KSA,ARG,-0.014,2.1170271609027598
KSA,ISL,-0.626,1.9094826524480395
KSA,CRO,-1.264,1.6559903381360654
KSA,NGA,-0.926,1.3116874627745743
KSA,BRA,-2.14,1.7482562741200158
KSA,SUI,-1.636,1.5334614439235177
KSA,CRC,0.136,1.3302270482891259
KSA,SRB,-1.202,1.6532380348878986
KSA,GER,-3.05,2.302064291022299
KSA,SWE,-0.864,2.1141201479575376
KSA,MEX,-0.104,1.7335466535400772
KSA,KOR,0.608,1.7129903677487506
KSA,BEL,-2.572,2.345381845243968
KSA,PAN,0.406,1.5840340905422459
KSA,TUN,-0.392,1.5615172109201998
KSA,ENG,-1.708,1.6008547716766814
KSA,POL,-1.092,1.6623886428870958
KSA,SEN,-0.124,1.5233594454363029
KSA,COL,0.124,1.720646390168532
KSA,JPN,-0.79,1.4879180084937476
EGY,URU,-0.166,1.910613514031553
EGY,POR,-1.44,1.4786480311419616
EGY,ESP,-1.914,1.8467820661897276
EGY,MAR,-0.162,2.0009387796731812
EGY,IRN,-1.07,1.6688618876348036
EGY,FRA,-1.316,1.897404543053484
EGY,AUS,0.312,2.3576802158053582
EGY,PER,-0.52,1.995394697797907
EGY,DEN,-0.492,2.195890707662838
EGY,ARG,0.038,2.0338525020266345
EGY,ISL,-0.274,2.0146771453510857
EGY,CRO,-0.916,1.9393153431043646
EGY,NGA,-1.026,1.7936900512630378
EGY,BRA,-1.962,1.7710324672348612
EGY,SUI,-1.374,1.6364974793747773
EGY,CRC,-0.082,1.7050736054493365
EGY,SRB,-1.108,1.9535444709552943
EGY,GER,-1.916,1.908125782017527
EGY,SWE,-0.968,2.28450782445585
EGY,MEX,-0.67,1.9942667825544305
EGY,KOR,0.012,2.003960079442702
EGY,BEL,-2.006,1.8574078712011532
EGY,PAN,-0.006,1.7555523347368487
EGY,TUN,-0.65,2.0512191496766015
EGY,ENG,-1.632,1.583848477601314
EGY,POL,-1.132,1.819498832096355
EGY,SEN,-0.072,1.9439176937308844
EGY,COL,-0.184,1.8520647936829857
EGY,JPN,-0.57,1.804743749123404
URU,POR,-1.244,1.621253835770328
URU,ESP,-2.686,2.3890173712219007
URU,MAR,0.274,1.7305848722325063
URU,IRN,-0.71,1.531633115338004
URU,FRA,-1.01,1.3877679921370143
URU,AUS,0.362,2.276610638646846
URU,PER,-0.394,1.6379145276845188
URU,DEN,-0.362,1.744407062586024
URU,ARG,-0.158,1.6784028121997412
URU,ISL,-0.56,1.9168724527208376
URU,CRO,-1.136,1.6399707314461438
URU,NGA,-0.716,1.5004479331186404
URU,BRA,-1.582,1.9553199226725022
URU,SUI,-1.352,1.550514753235196
URU,CRC,-0.19,1.5039614356757958
URU,SRB,-0.602,1.6648111003954773
URU,GER,-3.096,2.7215407400955804
URU,SWE,-1.094,2.0574654310583202
URU,MEX,-0.596,1.7767340825233244
URU,KOR,0.144,2.01674589376054
URU,BEL,-2.914,2.467104375578788
URU,PAN,0.122,1.4666683333323864
URU,TUN,-0.452,1.6624367657147143
URU,ENG,-1.398,1.7548777735215635
URU,POL,-1.232,1.8006043429915413
URU,SEN,-0.158,1.4741221116311904
URU,COL,-0.372,1.6228419516391608
URU,JPN,-0.48,1.5904716281656834
POR,ESP,0.27,1.6398475538903
POR,MAR,1.176,1.6592239149674766
POR,IRN,0.03,1.1104503590885997
POR,FRA,0.67,1.3932336487466845
POR,AUS,1.416,1.8074689485576232
POR,PER,0.402,1.371275318818216
POR,DEN,1.598,1.5114218471360006
POR,ARG,0.95,1.6430155203162264
POR,ISL,1.378,2.1361451261559923
POR,CRO,0.604,1.5984942915131102
POR,NGA,0.486,1.6869510959123861
POR,BRA,-0.09,1.4811819604626568
POR,SUI,0.032,1.354612859823795
POR,CRC,1.222,1.5102039597352406
POR,SRB,0.282,1.4691752788554535
POR,GER,-0.334,1.5147422222939453
POR,SWE,2.072,2.17136270576797
POR,MEX,1.322,1.7602033973379325
POR,KOR,1.536,1.6889949674288556
POR,BEL,0.008,1.8286432128766945
POR,PAN,1.43,1.6483628241379382
POR,TUN,1.052,1.6915365795630908
POR,ENG,-0.08,1.1249888888340185
POR,POL,0.132,1.4207659905839525
POR,SEN,0.672,1.2216447928919436
POR,COL,1.088,1.812251638156247
POR,JPN,1.014,1.5741041896901233
ESP,MAR,1.608,2.205070520414256
ESP,IRN,0.35,1.368027777495764
ESP,FRA,0.86,1.3268006632497589
ESP,AUS,1.728,1.8444554752012856
ESP,PER,0.842,1.6177255638704606
ESP,DEN,1.71,1.6352064089893972
ESP,ARG,1.214,1.8155450972090998
ESP,ISL,1.434,2.2274748034489638
ESP,CRO,0.914,1.5081790344650732
ESP,NGA,0.756,1.7642176736446102
ESP,BRA,0.066,1.6869036724128619
ESP,SUI,0.48,1.5765785740013087
ESP,CRC,1.48,1.6533602148352307
ESP,SRB,1.002,1.7128911232182855
ESP,GER,-0.13,1.7991942641082426
ESP,SWE,2.154,2.2481734808506215
ESP,MEX,1.722,1.7912889214194343
ESP,KOR,1.886,1.6831529936402096
ESP,BEL,0.066,1.9343329599632013
ESP,PAN,1.652,1.8886227786405627
ESP,TUN,1.306,2.007078473802158
ESP,ENG,0.02,1.3797101144805746
ESP,POL,0.584,1.6306268733220362
ESP,SEN,1.062,1.4799175652717957
ESP,COL,1.514,2.0143991660045932
ESP,JPN,1.314,1.7976106363726267
MAR,IRN,-1.014,1.7256314786187692
MAR,FRA,-0.898,1.489830862883435
MAR,AUS,0.012,1.6061930145533567
MAR,PER,-0.576,1.4213458410956847
MAR,DEN,-0.226,1.8294600296262282
MAR,ARG,-0.184,1.7303595002195353
MAR,ISL,-0.184,1.599419894836875
MAR,CRO,-0.734,1.602262150835499
MAR,NGA,-0.716,1.4406054282835394
MAR,BRA,-1.62,1.7685021911210628
MAR,SUI,-1.328,1.5047976608168954
MAR,CRC,-0.098,1.140349069364289
MAR,SRB,-1.112,1.6635672514208737
MAR,GER,-1.776,1.599319855438555
MAR,SWE,-0.114,2.029040167172646
MAR,MEX,-0.322,1.5080835520620202
MAR,KOR,0.1,1.5224979474534606
MAR,BEL,-1.578,1.7087761702458282
MAR,PAN,0.406,1.5379089699978994
MAR,TUN,0.26,1.61752897964766
MAR,ENG,-1.598,1.5685649492450098
MAR,POL,-1.032,1.5436890878671135
MAR,SEN,0.14,1.3432795688165589
MAR,COL,-0.024,1.4843934788323478
MAR,JPN,-0.394,1.3851945711704186
IRN,FRA,-0.132,1.756865390404171
IRN,AUS,1.03,1.702086954300514
IRN,PER,-0.228,1.3520414194838855
IRN,DEN,0.63,1.8463748265181694
IRN,ARG,0.724,1.7215760221378549
IRN,ISL,0.722,1.9669051832765099
IRN,CRO,0.04,1.9561186058110074
IRN,NGA,-0.26,1.769858751426226
IRN,BRA,-0.322,1.555093566316831
IRN,SUI,-0.164,1.4131893008369403
IRN,CRC,0.988,1.5645625586725511
IRN,SRB,-0.358,1.6364094842061996
IRN,GER,-0.5,1.6315636671610458
IRN,SWE,0.798,2.064266455668938
IRN,MEX,0.504,1.6631247698233587
IRN,KOR,0.786,1.5362955444835475
IRN,BEL,-0.172,1.9612281866218424
IRN,PAN,1.062,1.5931591257623954
IRN,TUN,0.306,1.6529863883287124
IRN,ENG,-0.314,1.2741287219115658
IRN,POL,-0.236,1.4143210385198972
IRN,SEN,0.124,1.288652008883702
IRN,COL,0.728,1.5355832768039641
IRN,JPN,0.36,1.4650597257449949
FRA,AUS,1.37,1.7137969541342988
FRA,PER,0.152,1.1423204454092555
FRA,DEN,1.278,1.4644848923768385
FRA,ARG,0.916,1.4286161135868514
FRA,ISL,1.128,1.8448891565619874
FRA,CRO,0.706,1.487132811822804
FRA,NGA,0.576,1.5925526678888833
FRA,BRA,-0.478,1.5942132856051603
FRA,SUI,-0.224,1.3273371839890573
FRA,CRC,1.124,1.4242977216860246
FRA,SRB,0.116,1.3705998686706489
FRA,GER,-0.842,1.4145797962646012
FRA,SWE,1.482,2.021305518718039
FRA,MEX,1.014,1.4428457991067514
FRA,KOR,1.19,1.491945039202182
FRA,BEL,-0.594,1.7438933453626113
FRA,PAN,1.19,1.566492898164559
FRA,TUN,1.142,1.64372625458134
FRA,ENG,-0.516,1.1531452640495905
FRA,POL,-0.17,1.3479985163196584
FRA,SEN,0.502,1.1874325243987551
FRA,COL,0.94,1.4368020044529448
FRA,JPN,1.164,1.5508397725103646
AUS,PER,-0.604,1.7225515957439417
AUS,DEN,-0.482,1.8755468535869744
AUS,ARG,0.304,1.6815421493379223
AUS,ISL,-0.15,1.842688253612097
AUS,CRO,-1.134,1.705298800797092
AUS,NGA,-0.892,1.7077283156286893
AUS,BRA,-1.598,1.7505416304675534
AUS,SUI,-1.258,1.5229694678489125
AUS,CRC,0.278,1.3902215650751502
AUS,SRB,-1.006,1.853095788134008
AUS,GER,-1.738,1.8647670095751911
AUS,SWE,-0.93,2.2183552465734606
AUS,MEX,-0.392,1.8585844075532323
AUS,KOR,0.25,1.646663292844047
AUS,BEL,-1.652,1.9075890542776766
AUS,PAN,0.526,1.428749103236814
AUS,TUN,-0.55,1.8653417917368387
AUS,ENG,-1.416,1.5540090089828953
AUS,POL,-1.18,1.706341114783325
AUS,SEN,-0.372,1.748604014635675
AUS,COL,0.044,1.511973544742103
AUS,JPN,-0.558,1.6354314415468476
PER,DEN,-0.22,1.4871449156017043
PER,ARG,0.048,1.4274788965165122
PER,ISL,0.058,1.3336551278347788
PER,CRO,-0.472,1.455065634258469
PER,NGA,-0.404,1.3757848669032522
PER,BRA,-1.616,1.6710906618134158
PER,SUI,-0.96,1.3365627557282898
PER,CRC,-0.028,1.353224297742248
PER,SRB,-0.3,1.3122499761859399
PER,GER,-1.768,1.7280555546625231
PER,SWE,-0.422,2.026799447404701
PER,MEX,-0.468,1.562362313933615
PER,KOR,0.046,1.8438774362738972
PER,BEL,-1.752,1.7396827296952742
PER,PAN,0.278,1.4410815382899054
PER,TUN,-0.002,1.7360864033797396
PER,ENG,-1.14,1.3373107342723305
PER,POL,-0.808,1.4110761850445923
PER,SEN,0.148,1.3198848434617316
PER,COL,-0.074,1.338851746833831
PER,JPN,0.154,1.5212770950750558
DEN,ARG,0.536,1.7517716746197263
DEN,ISL,0.76,1.707161386629864
DEN,CRO,0.234,1.5808997438167922
DEN,NGA,0.1,1.5918542646863123
DEN,BRA,-0.862,1.6896615045623782
DEN,SUI,-0.516,1.246492679481111
DEN,CRC,0.718,1.5160725576304055
DEN,SRB,-0.122,1.4349620204033275
DEN,GER,-1.176,1.3240181267641316
DEN,SWE,1.248,2.0499990243900115
DEN,MEX,0.602,1.7920926315344305
DEN,KOR,1.092,2.049276945656687
DEN,BEL,-0.928,1.6452404079647447
DEN,PAN,1.158,1.8267555939424407
DEN,TUN,0.866,1.7251214450003223
DEN,ENG,-0.974,1.2858164721296736
DEN,POL,-0.488,1.312195107444011
DEN,SEN,0.396,1.2046509868007413
DEN,COL,0.67,1.7091225819115492
DEN,JPN,0.598,1.5761966882340541
ARG,ISL,-0.296,1.864506368988854
ARG,CRO,-1.052,1.7393378050281092
ARG,NGA,-0.514,1.624131768053319
ARG,BRA,-1.636,1.7650790350576373
ARG,SUI,-1.408,1.6569659018821117
ARG,CRC,0.086,1.383692162296224
ARG,SRB,-0.706,1.6357151341232985
ARG,GER,-2.51,2.3532743146518214
ARG,SWE,-0.916,2.1271915757636872
ARG,MEX,-0.308,1.6891228492919041
ARG,KOR,0.31,1.7905027227010855
ARG,BEL,-2.368,2.1551278384355763
ARG,PAN,0.016,1.468245211127896
ARG,TUN,-0.188,1.9299367865295485
ARG,ENG,-1.416,1.8118896213621845
ARG,POL,-1.206,1.7180116414040971
ARG,SEN,-0.148,1.6229898336095638
ARG,COL,-0.33,1.3568714014231416
ARG,JPN,-0.462,1.6311210868602
ISL,CRO,-0.942,1.9252625794940286
ISL,NGA,-0.472,1.5953733105452155
ISL,BRA,-1.544,1.720483652930187
ISL,SUI,-1.29,1.588049117628293
ISL,CRC,0.054,1.408220153243093
ISL,SRB,-0.208,1.7631607981122992
ISL,GER,-3.026,2.652795506630694
ISL,SWE,-0.336,2.0176976978725034
ISL,MEX,-0.066,1.6666265328501162
ISL,KOR,0.28,1.8356470248934025
ISL,BEL,-2.56,2.5687350972803715
ISL,PAN,0.336,1.8727263548100135
ISL,TUN,-0.016,1.7469241540490532
ISL,ENG,-1.422,1.723924592318353
ISL,POL,-0.98,1.9787875075409183
ISL,SEN,0.028,1.7649974504230876
ISL,COL,0.094,1.4930385125642271
ISL,JPN,-0.074,1.701917741843007
CRO,NGA,-0.274,1.4989743159907711
CRO,BRA,-1.604,1.5515102319997764
CRO,SUI,-1.078,1.1453890168846566
CRO,CRC,0.668,1.321278169046927
CRO,SRB,0.016,1.3144367615066157
CRO,GER,-1.718,1.2940154558582364
CRO,SWE,0.522,1.737099881987216
CRO,MEX,0.368,1.5377177894529281
CRO,KOR,0.79,1.4148851543499918
CRO,BEL,-1.564,1.4373252937313807
CRO,PAN,0.882,1.6099925465665983
CRO,TUN,0.656,1.8313011767593008
CRO,ENG,-1.464,1.3193574193523148
CRO,POL,-0.824,1.4467287237073851
CRO,SEN,0.532,1.4258246736538123
CRO,COL,0.572,1.5089121909508185
CRO,JPN,0.552,1.6441703074803413
NGA,BRA,-1.438,1.6291580647684252
NGA,SUI,-1.042,1.3327550412585203
NGA,CRC,0.986,1.3273296500869707
NGA,SRB,-0.478,1.6868657326533134
NGA,GER,-1.568,1.5117460104131248
NGA,SWE,0.812,2.2037822033948817
NGA,MEX,0.558,1.4948698940041572
NGA,KOR,0.954,1.3114434795293315
NGA,BEL,-1.384,1.5775119650893301
NGA,PAN,0.904,1.485524823084421
NGA,TUN,0.396,1.8674003320123942
NGA,ENG,-1.396,1.3925458699805906
NGA,POL,-0.714,1.4953942623937007
NGA,SEN,0.388,1.682098689138066
NGA,COL,0.758,1.3997985569359614
NGA,JPN,0.414,1.54874271588279
BRA,SUI,0.508,1.4946357415771911
BRA,CRC,1.194,1.5337418296440897
BRA,SRB,0.92,1.7417232845661792
BRA,GER,0.03,1.700911520332554
BRA,SWE,2.072,2.064658809585739
BRA,MEX,1.364,1.7650790350576373
BRA,KOR,1.648,1.7922321278227327
BRA,BEL,0.34,1.8645106596638166
BRA,PAN,1.442,1.6293053734644096
BRA,TUN,1.104,1.6724784004584334
BRA,ENG,0.186,1.3203802482618407
BRA,POL,0.54,1.5337535656030272
BRA,SEN,0.994,1.4078224319849433
BRA,COL,1.22,1.863223014027038
BRA,JPN,1.15,1.4253069844773791
SUI,CRC,1.026,1.4315460174231214
SUI,SRB,0.404,1.4130760772159436
SUI,GER,-0.638,1.535889318928939
SUI,SWE,1.718,1.928335033130913
SUI,MEX,1.102,1.5670341413000548
SUI,KOR,1.41,1.5993436153622522
SUI,BEL,-0.394,1.7454982096811213
SUI,PAN,1.3,1.5342750731208534
SUI,TUN,1.13,1.679613050675661
SUI,ENG,-0.334,1.201017901615126
SUI,POL,0.124,1.4562362445702277
SUI,SEN,0.86,1.366894289987342
SUI,COL,0.826,1.554259952517596
SUI,JPN,1.064,1.5773091009691156
CRC,SRB,-0.584,1.554009008982895
CRC,GER,-1.242,1.823029346993624
CRC,SWE,-0.594,2.2264689532980246
CRC,MEX,-0.428,1.7529449506473385
CRC,KOR,0.226,1.46932773743641
CRC,BEL,-1.07,1.9811865131784032
CRC,PAN,0.432,1.1319787983880263
CRC,TUN,-0.264,1.4234830522349045
CRC,ENG,-0.866,1.4642554421957938
CRC,POL,-0.722,1.5115277040133934
CRC,SEN,-0.178,1.1774192116659215
CRC,COL,0.042,1.3536011229309763
CRC,JPN,-0.144,1.1812129359264567
SRB,GER,-0.926,1.4630529723834338
SRB,SWE,2.042,2.3178084476504957
SRB,MEX,1.046,1.676867317351018
SRB,KOR,1.482,1.8004654953650183
SRB,BEL,-0.82,1.6910351859142376
SRB,PAN,1.506,1.9261266832687822
SRB,TUN,1.118,1.6923581181298477
SRB,ENG,-0.604,1.2374101987619142
SRB,POL,-0.274,1.3427300547764618
SRB,SEN,0.558,1.2596174022297406
SRB,COL,0.898,1.8792541073521698
SRB,JPN,1.074,1.507489303444638
GER,SWE,2.168,2.162354272546476
GER,MEX,2.074,2.2909657352304507
GER,KOR,2.212,2.119211173998476
GER,BEL,0.266,1.9501907599001695
GER,PAN,1.61,2.0154155898970316
GER,TUN,1.342,2.101674570431874
GER,ENG,-0.06,1.4520330574749323
GER,POL,0.332,1.729096874093525
GER,SEN,0.69,1.7960790628477354
GER,COL,1.364,2.2854986326839053
GER,JPN,1.276,1.8750530659157356
SWE,MEX,0.474,2.1737810377312616
SWE,KOR,0.994,2.254321183860011
SWE,BEL,-2.278,2.358965027294809
SWE,PAN,1.238,2.1793017230296496
SWE,TUN,0.54,2.0814418079783064
SWE,ENG,-1.23,1.7207847047204947
SWE,POL,-0.642,1.7623382195254123
SWE,SEN,0.16,1.8704010265181101
SWE,COL,0.894,2.2818334733279726
SWE,JPN,0.086,1.7895820741167474
MEX,KOR,0.578,1.591199547511248
MEX,BEL,-2.31,2.219436865513412
MEX,PAN,0.54,1.3654303350958628
MEX,TUN,-0.408,1.6844987384975982
MEX,ENG,-1.598,1.6224660242975815
MEX,POL,-0.938,1.5369307076117649
MEX,SEN,-0.056,1.549472168191478
MEX,COL,0.104,1.4619110780071407
MEX,JPN,-0.538,1.420054928515091
KOR,BEL,-2.364,2.230583780089867
KOR,PAN,0.088,1.6322548820573337
KOR,TUN,-0.796,1.5818925374373571
KOR,ENG,-2.032,1.5332892747293319
KOR,POL,-1.478,1.6868657326533134
KOR,SEN,-0.194,1.5925966218725947
KOR,COL,-0.45,1.560608855543246
KOR,JPN,-1.348,1.292631424652828
BEL,PAN,1.792,1.9536468462851724
BEL,TUN,1.098,2.018017839366144
BEL,ENG,-1.12,1.4427751037497147
BEL,POL,-0.624,1.6812566728492113
BEL,SEN,0.594,1.6879466816223787
BEL,COL,1.29,2.1609951411328994
BEL,JPN,0.956,2.007501930260591
PAN,TUN,-0.77,1.4160155366379283
PAN,ENG,-2.03,1.8463748265181694
PAN,POL,-1.704,1.8890166754160749
PAN,SEN,-0.44,1.3001538370516006
PAN,COL,-0.316,1.3506087516375718
PAN,JPN,-1.21,1.649818171799547
TUN,ENG,-1.982,1.824739981476813
TUN,POL,-1.25,2.0385043536867906
TUN,SEN,-0.222,1.7529164269867517
TUN,COL,0.072,1.548811156984608
TUN,JPN,-0.908,1.7707444762020295
ENG,POL,-0.058,1.426406674129086
ENG,SEN,0.618,1.3564940103074543
ENG,COL,0.91,1.6005936398724068
ENG,JPN,1.028,1.6622923930524376
POL,SEN,0.322,1.355845123898744
POL,COL,0.59,1.4289506639488994
POL,JPN,0.6,1.4791889669680478
SEN,COL,0.486,1.5613468544817324
SEN,JPN,0.122,1.4053882025974174
COL,JPN,-0.596,1.4383268057016805
